function,method,x_axis,empirical_rate
sin,midpoint,eval_count,-2.0000225760574377
sin,trapezoidal,eval_count,-2.0101226268201793
sin,simpson,eval_count,-4.020393497128968
sin,gauss,eval_count,0.5855660499821884
sin,monte_carlo,eval_count,-0.33710472434704053
sin,quasi_mc,eval_count,-1.2881501707788188
sin,mcmc,eval_count,-1.0611583790235692
sin10x,midpoint,eval_count,-2.0005647569480702
sin10x,trapezoidal,eval_count,-2.010433684347209
sin10x,simpson,eval_count,-4.02253771731219
sin10x,gauss,eval_count,-5.496355188389132
sin10x,monte_carlo,eval_count,-0.4170636716507684
sin10x,quasi_mc,eval_count,-1.2169251541816735
sin10x,mcmc,eval_count,-0.8603443113332228
gaussian_peak,midpoint,eval_count,-2.5706558574877825
gaussian_peak,trapezoidal,eval_count,-2.386777188442227
gaussian_peak,simpson,eval_count,-12.462926826750214
gaussian_peak,gauss,eval_count,-5.883791554730585
gaussian_peak,monte_carlo,eval_count,-0.3674251177640616
gaussian_peak,quasi_mc,eval_count,-4.756828093250506
gaussian_peak,mcmc,eval_count,0.15942705453518907
runge,midpoint,eval_count,-1.9999025950979092
runge,trapezoidal,eval_count,-2.0100538061342617
runge,simpson,eval_count,-4.044907541386037
runge,gauss,eval_count,-5.058534207260975
runge,monte_carlo,eval_count,-0.5471720286786784
runge,quasi_mc,eval_count,-1.4362859369073577
runge,mcmc,eval_count,-0.24784099107349852
step,midpoint,eval_count,
step,trapezoidal,eval_count,-1.0050548386516824
step,simpson,eval_count,-1.0050548386517508
step,gauss,eval_count,
step,monte_carlo,eval_count,-0.6540946556031044
step,quasi_mc,eval_count,
step,mcmc,eval_count,-0.5336325106101255
steep_sigmoid,midpoint,eval_count,-9.749961425178544
steep_sigmoid,trapezoidal,eval_count,-10.376445583404019
steep_sigmoid,simpson,eval_count,-4.819827623991496
steep_sigmoid,gauss,eval_count,-7.45441337132452
steep_sigmoid,monte_carlo,eval_count,-0.37409834929403996
steep_sigmoid,quasi_mc,eval_count,-0.8560609122038265
steep_sigmoid,mcmc,eval_count,-0.5341965474057954
