function,method,budget,n_or_N,eval_count,estimate,exact,abs_error,rel_error,std_estimate,accept_rate,lag1_autocorr,ess_lag1
sin,midpoint,256,256,256,2.000012549906099,2.0,1.2549906098779928e-05,6.274953049389964e-06,,,,
sin,trapezoidal,256,255,256,1.9999747029876502,2.0,2.5297012349767556e-05,1.2648506174883778e-05,,,,
sin,simpson,256,254,255,2.000000000260034,2.0,2.600342163816549e-10,1.3001710819082746e-10,,,,
sin,gauss,256,256,256,1.9999999999999998,2.0,2.220446049250313e-16,1.1102230246251565e-16,,,,
sin,monte_carlo,256,256,256,1.9951903962563136,2.0,0.004809603743686441,0.0024048018718432207,0.06152584248232698,,,
sin,quasi_mc,256,256,256,2.0000501988684007,2.0,5.01988684007415e-05,2.509943420037075e-05,,,,
sin,mcmc,256,256,256,1.983334194098058,2.0,0.016665805901942,0.008332902950971,0.12281148809100802,0.8403131634819532,0.5526509651021974,74.24521021860126
sin10x,midpoint,256,256,256,0.20003137807306207,0.2,3.137807306205498e-05,0.0001568903653102749,,,,
sin10x,trapezoidal,256,255,256,0.1999367536291512,0.2,6.32463708488129e-05,0.0003162318542440645,,,,
sin10x,simpson,256,254,255,0.20000001625922717,0.2,1.6259227159087786e-08,8.129613579543893e-08,,,,
sin10x,gauss,256,256,256,0.19999999999999776,0.2,2.248201624865942e-15,1.124100812432971e-14,,,,
sin10x,monte_carlo,256,256,256,0.21151092624490628,0.2,0.011510926244906267,0.05755463122453133,0.05865700058618344,,,
sin10x,quasi_mc,256,256,256,0.20012546504228912,0.2,0.00012546504228910793,0.0006273252114455397,,,,
sin10x,mcmc,256,256,256,0.23639817757643566,0.2,0.03639817757643565,0.18199088788217826,0.09010517062645139,0.8403131634819532,0.17009638354164952,183.3112906428055
gaussian_peak,midpoint,256,256,256,0.17724538509028082,0.1772453850902791,1.7208456881689926e-15,9.708832121595087e-15,,,,
gaussian_peak,trapezoidal,256,255,256,0.17724538509027554,0.1772453850902791,3.552713678800501e-15,2.0044040509099536e-14,,,,
gaussian_peak,simpson,256,254,255,0.17724538509027907,0.1772453850902791,2.7755575615628914e-17,1.5659406647734013e-16,,,,
gaussian_peak,gauss,256,256,256,0.1772453850902792,0.1772453850902791,1.1102230246251565e-16,6.263762659093605e-16,,,,
gaussian_peak,monte_carlo,256,256,256,0.17690819002197786,0.1772453850902791,0.00033719506830123813,0.0019024194515952528,0.013330185472401428,,,
gaussian_peak,quasi_mc,256,256,256,0.17724538509028726,0.1772453850902791,8.1601392309949e-15,4.6038655544337994e-14,,,,
gaussian_peak,mcmc,256,256,256,0.17686698741851353,0.1772453850902791,0.0003783976717655624,0.0021348802484918144,0.028224849754691094,0.8403131634819532,0.25631037323653916,153.29396218978906
runge,midpoint,256,256,256,0.5493606829737598,0.5493603067780064,3.761957534376137e-07,6.847887420989671e-07,,,,
runge,trapezoidal,256,255,256,0.5493595484677217,0.5493603067780064,7.583102846764334e-07,1.3803514293268053e-06,,,,
runge,simpson,256,254,255,0.5493603067443654,0.5493603067780064,3.364097889146933e-11,6.123663918999425e-11,,,,
runge,gauss,256,256,256,0.5493603067780066,0.5493603067780064,2.220446049250313e-16,4.0418756540187815e-16,,,,
runge,monte_carlo,256,256,256,0.5483787485557392,0.5493603067780064,0.0009815582222671981,0.0017867294199393998,0.026093083975668764,,,
runge,quasi_mc,256,256,256,0.5493618242067518,0.5493603067780064,1.5174287454344793e-06,2.762173980741685e-06,,,,
runge,mcmc,256,256,256,0.5460186980659288,0.5493603067780064,0.0033416087120775595,0.0060827268931679225,0.05858177120568695,0.8403131634819532,0.34164400019734426,126.73750304802482
step,midpoint,256,256,256,0.5,0.5,0.0,0.0,,,,
step,trapezoidal,256,255,256,0.5,0.5,0.0,0.0,,,,
step,simpson,256,254,255,0.5026246719160105,0.5,0.002624671916010457,0.005249343832020914,,,,
step,gauss,256,256,256,0.5000000000000001,0.5,1.1102230246251565e-16,2.220446049250313e-16,,,,
step,monte_carlo,256,256,256,0.5015625,0.5,0.0015625000000000222,0.0031250000000000444,0.03240068961457456,,,
step,quasi_mc,256,256,256,0.5,0.5,0.0,0.0,,,,
step,mcmc,256,256,256,0.4986979166666667,0.5,0.0013020833333333148,0.0026041666666666297,0.09356085745243144,0.8403131634819532,0.683805782383592,48.42466834498393
steep_sigmoid,midpoint,256,256,256,0.6299999999999983,0.6299999999999982,1.1102230246251565e-16,1.7622587692462853e-16,,,,
steep_sigmoid,trapezoidal,256,255,256,0.6299999999999982,0.6299999999999982,0.0,0.0,,,,
steep_sigmoid,simpson,256,254,255,0.6299999999999982,0.6299999999999982,0.0,0.0,,,,
steep_sigmoid,gauss,256,256,256,0.6299999999999985,0.6299999999999982,2.220446049250313e-16,3.5245175384925706e-16,,,,
steep_sigmoid,monte_carlo,256,256,256,0.632469052534978,0.6299999999999982,0.0024690525349797543,0.003919131007904383,0.02650158536379998,,,
steep_sigmoid,quasi_mc,256,256,256,0.6280468749999986,0.6299999999999982,0.001953124999999667,0.0031001984126978925,,,,
steep_sigmoid,mcmc,256,256,256,0.628154548101799,0.6299999999999982,0.0018454518981991797,0.0029292887273002933,0.08613214049228471,0.8403131634819532,0.6880299861667674,47.77423887790463
