function,method,n,eval_count,estimate,exact,abs_error,rel_error
gaussian_peak,midpoint,4,4,0.10480608415001931,0.1772453850902791,0.07243930094025978,0.4086949903003859
gaussian_peak,midpoint,8,8,0.17660511457610528,0.1772453850902791,0.000640270514173813,0.003612339547501867
gaussian_peak,midpoint,16,16,0.17724538508670978,0.1772453850902791,3.569311513018647e-12,2.0137683760852984e-11
gaussian_peak,midpoint,32,32,0.1772453850903674,0.1772453850902791,8.83182416089312e-14,4.982823195308963e-13
gaussian_peak,midpoint,64,64,0.17724538509030557,0.1772453850902791,2.6478819137309983e-14,1.4939073941938247e-13
gaussian_peak,midpoint,128,128,0.17724538509028603,0.1772453850902791,6.938893903907228e-15,3.914851661933503e-14
gaussian_peak,midpoint,256,256,0.17724538509028082,0.1772453850902791,1.7208456881689926e-15,9.708832121595087e-15
gaussian_peak,midpoint,512,512,0.17724538509027954,0.1772453850902791,4.440892098500626e-16,2.505505063637442e-15
gaussian_peak,midpoint,1024,1024,0.1772453850902792,0.1772453850902791,1.1102230246251565e-16,6.263762659093605e-16
gaussian_peak,trapezoidal,4,5,0.25096522707158586,0.1772453850902791,0.07371984198130677,0.4159196694670381
gaussian_peak,trapezoidal,8,9,0.1778856556108026,0.1772453850902791,0.0006402705205235115,0.003612339583326205
gaussian_peak,trapezoidal,16,17,0.17724538509345386,0.1772453850902791,3.174766005642482e-12,1.7911699105877594e-11
gaussian_peak,trapezoidal,32,33,0.17724538509008184,0.1772453850902791,1.972588759002747e-13,1.1129140304544563e-12
gaussian_peak,trapezoidal,64,65,0.1772453850902246,0.1772453850902791,5.448419493347956e-14,3.0739415249501865e-13
gaussian_peak,trapezoidal,128,129,0.17724538509026513,0.1772453850902791,1.3961054534661343e-14,7.876681543810208e-14
gaussian_peak,trapezoidal,256,257,0.17724538509027554,0.1772453850902791,3.552713678800501e-15,2.0044040509099536e-14
gaussian_peak,trapezoidal,512,513,0.17724538509027823,0.1772453850902791,8.604228440844963e-16,4.8544160607975435e-15
gaussian_peak,trapezoidal,1024,1025,0.17724538509027887,0.1772453850902791,2.220446049250313e-16,1.252752531818721e-15
gaussian_peak,simpson,4,5,0.16795363609313313,0.1772453850902791,0.009291748997145965,0.052423079971381244
gaussian_peak,simpson,8,9,0.15352579845720815,0.1772453850902791,0.023719586633070944,0.13382343704457797
gaussian_peak,simpson,16,17,0.17703196158767104,0.1772453850902791,0.00021342350260805665,0.0012041131705592808
gaussian_peak,simpson,32,33,0.17724538508895782,0.1772453850902791,1.3212764216063988e-12,7.454503940587298e-12
gaussian_peak,simpson,64,65,0.17724538509027224,0.1772453850902791,6.855627177060342e-15,3.867873441990301e-14
gaussian_peak,simpson,128,129,0.17724538509027857,0.1772453850902791,5.273559366969494e-16,2.975287263069462e-15
gaussian_peak,simpson,256,257,0.17724538509027904,0.1772453850902791,5.551115123125783e-17,3.1318813295468025e-16
gaussian_peak,simpson,512,513,0.1772453850902791,0.1772453850902791,0.0,0.0
gaussian_peak,simpson,1024,1025,0.1772453850902791,0.1772453850902791,0.0,0.0
gaussian_peak,gauss,4,4,0.03625544230659371,0.1772453850902791,0.14098994278368537,0.7954505710367173
gaussian_peak,gauss,8,8,0.1567003054809945,0.1772453850902791,0.02054507960928459,0.11591319908735592
gaussian_peak,gauss,16,16,0.1772278465357549,0.1772453850902791,1.7538554524187955e-05,9.895069773046433e-05
gaussian_peak,gauss,32,32,0.17724538509027638,0.1772453850902791,2.7200464103316335e-15,1.5346218514779333e-14
gaussian_peak,gauss,64,64,0.17724538509027937,0.1772453850902791,2.7755575615628914e-16,1.5659406647734011e-15
gaussian_peak,gauss,128,128,0.17724538509027798,0.1772453850902791,1.1102230246251565e-15,6.2637626590936045e-15
gaussian_peak,gauss,256,256,0.1772453850902792,0.1772453850902791,1.1102230246251565e-16,6.263762659093605e-16
gaussian_peak,gauss,512,512,0.1772453850902786,0.1772453850902791,4.996003610813204e-16,2.818693196592122e-15
gaussian_peak,gauss,1024,1024,0.17724538509027687,0.1772453850902791,2.220446049250313e-15,1.2527525318187209e-14
