function,method,dim,n_or_N,num_points,estimate,exact,abs_error,rel_error,time_sec,status
exp_product,midpoint,1,64,64,1.7182643493168634,1.718281828459045,1.747914218164226e-05,1.0172453605772898e-05,0.0002212999970652163,ok
exp_product,midpoint,2,32,1024,2.9522521792942227,2.9524924420125593,0.00024026271833665902,8.137623484410498e-05,0.0005094999942230061,ok
exp_product,midpoint,3,16,4096,5.070737641712874,5.0732141117728515,0.0024764700599773093,0.00048814617428238183,0.0002733000001171604,ok
exp_product,midpoint,5,8,32768,14.929953372642455,14.978626321720803,0.04867294907834818,0.003249493513818859,0.0021204000076977536,ok
exp_product,midpoint,8,4,65536,74.42384170376019,75.98977843032625,1.5659367265660649,0.02060720216472069,0.009419699999853037,ok
exp_product,midpoint,10,4,1048576,218.5949402660448,224.35924648574726,5.764306219702462,0.025692305131131056,0.14830410000286065,ok
exp_product,trapezoidal,1,64,65,1.7183167868500933,1.718281828459045,3.495839104816767e-05,2.034496929966276e-05,0.0002356000040890649,ok
exp_product,trapezoidal,2,32,1089,2.952973002644324,2.9524924420125593,0.00048056063176460384,0.00016276439015607805,0.0002463000128045678,ok
exp_product,trapezoidal,3,16,4913,5.078169712608936,5.0732141117728515,0.004955600836084706,0.0009768168121634738,0.0003564000071492046,ok
exp_product,trapezoidal,5,8,59049,15.076372183735248,14.978626321720803,0.09774586201444535,0.00652568933325362,0.0049525000067660585,ok
exp_product,trapezoidal,8,4,390625,79.21092712579988,75.98977843032625,3.22114869547363,0.042389236579062364,0.0635236999951303,ok
exp_product,trapezoidal,10,4,9765625,,224.35924648574726,,,,skipped_too_many_tensor_points
exp_product,simpson,1,64,65,1.7182818290280153,1.718281828459045,5.689702042843692e-10,3.311274057961851e-10,0.0002043999993475154,ok
exp_product,simpson,2,32,1089,2.9524924732946585,2.9524924420125593,3.128209913327851e-08,1.0595149605854754e-08,0.00031030000536702573,ok
exp_product,simpson,3,16,4913,5.073215401358299,5.0732141117728515,1.2895854473171653e-06,2.5419495785217614e-07,0.0005533999938052148,ok
exp_product,simpson,5,8,59049,14.978727713664247,14.978626321720803,0.00010139194344382929,6.7691082790949145e-06,0.004007900002761744,ok
exp_product,simpson,8,4,390625,76.00287456786147,75.98977843032625,0.013096137535214325,0.00017234077800637297,0.06087660000775941,ok
exp_product,simpson,10,4,9765625,,224.35924648574726,,,,skipped_too_many_tensor_points
exp_product,gauss,1,64,64,1.718281828459045,1.718281828459045,0.0,0.0,0.0020837000047322363,ok
exp_product,gauss,2,32,1024,2.95249244201256,2.9524924420125593,4.440892098500626e-16,1.50411633076815e-16,0.0009149999968940392,ok
exp_product,gauss,3,16,4096,5.073214111772853,5.0732141117728515,1.7763568394002505e-15,3.5014426757152905e-16,0.0008597999985795468,ok
exp_product,gauss,5,8,32768,14.978626321720814,14.978626321720803,1.0658141036401503e-14,7.115566412753031e-16,0.001991400000406429,ok
exp_product,gauss,8,4,65536,75.9897781002478,75.98977843032625,3.3007844990606827e-07,4.3437217047383764e-09,0.011346600003889762,ok
exp_product,gauss,10,4,1048576,224.35924526755576,224.35924648574726,1.2181914996745036e-06,5.429646955744661e-09,0.22075239999685436,ok
exp_product,monte_carlo,1,50000,50000,1.720766676272726,1.718281828459045,0.002484847813680968,0.0014461235476774955,0.0009433999948669225,ok
exp_product,monte_carlo,2,50000,50000,2.937289724954821,2.9524924420125593,0.015202717057738457,0.0051491129465434165,0.001362500013783574,ok
exp_product,monte_carlo,3,50000,50000,5.084155823270871,5.0732141117728515,0.01094171149801948,0.002156761228079897,0.0017033999902196229,ok
exp_product,monte_carlo,5,50000,50000,15.026793422523234,14.978626321720803,0.048167100802430696,0.0032157221742412138,0.004295399994589388,ok
exp_product,monte_carlo,8,50000,50000,75.9938486573262,75.98977843032625,0.004070226999942861,5.3562822316619643e-05,0.0055235000036191195,ok
exp_product,monte_carlo,10,50000,50000,223.95118353521718,224.35924648574726,0.40806295053008057,0.001818792659191799,0.004197800008114427,ok
exp_product,quasi_mc,1,50000,50000,1.7182104904101652,1.718281828459045,7.1338048879932e-05,4.151708276162587e-05,0.08789749999414198,ok
exp_product,quasi_mc,2,50000,50000,2.952214064452081,2.9524924420125593,0.0002783775604782157,9.428561323884722e-05,0.1758786999998847,ok
exp_product,quasi_mc,3,50000,50000,5.072599760499826,5.0732141117728515,0.0006143512730254486,0.00012109705198520814,0.2235900999949081,ok
exp_product,quasi_mc,5,50000,50000,14.973356180249132,14.978626321720803,0.0052701414716711525,0.0003518441116345106,0.2605972000019392,ok
exp_product,quasi_mc,8,50000,50000,75.91166535567687,75.98977843032625,0.07811307464938011,0.001027941866168233,0.2869845999957761,ok
exp_product,quasi_mc,10,50000,50000,223.87798779125526,224.35924648574726,0.48125869449199854,0.00214503615086161,0.32348420000926126,ok
exp_product,mcmc,1,50000,50000,1.7247943210939463,1.718281828459045,0.006512492634901168,0.0037901190171705248,0.2733262999972794,ok
exp_product,mcmc,2,50000,50000,2.947251204237512,2.9524924420125593,0.00524123777504748,0.0017751909202093684,0.2668559000012465,ok
exp_product,mcmc,3,50000,50000,5.073310173045462,5.0732141117728515,9.606127261019282e-05,1.8934992786382494e-05,0.2765615000098478,ok
exp_product,mcmc,5,50000,50000,14.984493960948155,14.978626321720803,0.005867639227352228,0.00039173413511514393,0.2716167000035057,ok
exp_product,mcmc,8,50000,50000,75.34795350856585,75.98977843032625,0.6418249217604028,0.008446200726179,0.28419120000035036,ok
exp_product,mcmc,10,50000,50000,215.55982665887888,224.35924648574726,8.799419826868387,0.03922022365780847,0.528810899995733,ok
