function,method,n,eval_count,mean_estimate,std_estimate,exact,mean_abs_error,rel_error,accept_rate,lag1_autocorr,ess_lag1,repeat
runge,monte_carlo,10,10,0.5135507384489858,0.18162963444565938,0.5493603067780064,0.0358095683290206,0.06518412030720498,,,,30.0
runge,monte_carlo,50,50,0.5530118803981813,0.08315069242868578,0.5493603067780064,0.003651573620174875,0.00664695569578247,,,,30.0
runge,monte_carlo,100,100,0.5566728828279293,0.05309668668643284,0.5493603067780064,0.007312576049922859,0.013311074643909125,,,,30.0
runge,monte_carlo,500,500,0.5440375892564587,0.02211063618953071,0.5493603067780064,0.005322717521547671,0.009688937216387847,,,,30.0
runge,monte_carlo,1000,1000,0.5482178988052664,0.016564415528199636,0.5493603067780064,0.0011424079727400116,0.002079524054877981,,,,30.0
runge,monte_carlo,5000,5000,0.5500686537168531,0.006972798397054079,0.5493603067780064,0.0007083469388466934,0.0012894032024285524,,,,30.0
runge,monte_carlo,10000,10000,0.5494673931906531,0.005566167769359766,0.5493603067780064,0.00010708641264667307,0.0001949292865273321,,,,30.0
runge,monte_carlo,50000,50000,0.5499620058812681,0.002979495723918581,0.5493603067780064,0.0006016991032616881,0.001095272257274371,,,,30.0
runge,monte_carlo,100000,100000,0.5493962818384908,0.0018847993242512848,0.5493603067780064,3.5975060484361165e-05,6.548536550693769e-05,,,,30.0
runge,quasi_mc,10,10,0.6358670519576648,,0.5493603067780064,0.0865067451796584,0.1574681390561683,,,,
runge,quasi_mc,50,50,0.56827963893438,,0.5493603067780064,0.018919332156373647,0.03443884081712305,,,,
runge,quasi_mc,100,100,0.5535303887122747,,0.5493603067780064,0.004170081934268266,0.007590795845309177,,,,
runge,quasi_mc,500,500,0.5495534098625267,,0.5493603067780064,0.00019310308452025193,0.0003515053456497429,,,,
runge,quasi_mc,1000,1000,0.549401767910352,,0.5493603067780064,4.146113234559934e-05,7.547165645943467e-05,,,,
runge,quasi_mc,5000,5000,0.5493770513079101,,0.5493603067780064,1.6744529903744976e-05,3.048005051903277e-05,,,,
runge,quasi_mc,10000,10000,0.5493613230740788,,0.5493603067780064,1.0162960724091619e-06,1.84996269273572e-06,,,,
runge,quasi_mc,50000,50000,0.5493605858480963,,0.5493603067780064,2.790700899257814e-07,5.079909969515729e-07,,,,
runge,quasi_mc,100000,100000,0.5493603701322046,,0.5493603067780064,6.33541982208996e-08,1.1532358169899723e-07,,,,
runge,mcmc,10,10,0.5290127113147711,0.25130116866909097,0.5493603067780064,0.02034759546323528,0.03703870704196624,0.840957095709571,0.17865403525081638,6.731961884768269,30.0
runge,mcmc,50,50,0.546639596338038,0.12488358755914553,0.5493603067780064,0.0027207104399683546,0.004952506408636071,0.8415238095238097,0.29126883313444857,28.309407134146852,30.0
runge,mcmc,100,100,0.5500254754631904,0.09418724209619335,0.5493603067780064,0.0006651686851839589,0.001210805871806006,0.8416363636363636,0.3303052325218116,51.52699364511291,30.0
runge,mcmc,500,500,0.5486520786333675,0.03772461215329027,0.5493603067780064,0.0007082281446388894,0.0012891869614545717,0.8412,0.3413683276750858,246.22969507507548,30.0
runge,mcmc,1000,1000,0.5484946402223233,0.026812890935580317,0.5493603067780064,0.0008656665556830978,0.0015757719387485872,0.8408333333333332,0.3586437918353275,472.7603187827297,30.0
runge,mcmc,5000,5000,0.5497237165195589,0.011828361086013319,0.5493603067780064,0.0003634097415524673,0.0006615143778476868,0.8410222222222222,0.369291977415971,2303.4936516346806,30.0
runge,mcmc,10000,10000,0.5492751747534619,0.007630209759487199,0.5493603067780064,8.513202454452085e-05,0.0001549657365014583,0.840730303030303,0.3670399896150569,4630.68781064909,30.0
runge,mcmc,50000,50000,0.5496675220669474,0.004406371599181943,0.5493603067780064,0.00030721528894095407,0.0005592236736992689,0.8404738562091504,0.368567798010823,23069.762039428562,30.0
runge,mcmc,100000,100000,0.549565026865011,0.0022308496631528994,0.5493603067780064,0.0002047200870045618,0.00037265176329400894,0.840325412541254,0.36805845839059315,46193.481149066836,30.0
