function,method,n,eval_count,estimate,exact,abs_error,rel_error
runge,midpoint,4,4,0.4566339439328003,0.5493603067780064,0.09272636284520608,0.16878970267991406
runge,midpoint,8,8,0.541546773394423,0.5493603067780064,0.007813533383583371,0.014222966761850121
runge,midpoint,16,16,0.5494020532931269,0.5493603067780064,4.174651512045546e-05,7.599113843025613e-05
runge,midpoint,32,32,0.5493843522917551,0.5493603067780064,2.40455137486828e-05,4.377002388415999e-05
runge,midpoint,64,64,0.549366324199304,0.5493603067780064,6.017421297577208e-06,1.0953505783607362e-05
runge,midpoint,128,128,0.5493618114754407,0.5493603067780064,1.5046974343180253e-06,2.7389991882432555e-06
runge,midpoint,256,256,0.5493606829737598,0.5493603067780064,3.761957534376137e-07,6.847887420989671e-07
runge,midpoint,512,512,0.549360400828282,0.5493603067780064,9.405027556752543e-08,1.711996196433075e-07
runge,midpoint,1024,1024,0.5493603302906589,0.5493603067780064,2.3512652491675112e-08,4.2800057087445254e-08
runge,trapezoidal,4,5,0.6571618037135278,0.5493603067780064,0.10780149693552143,0.19623095372102203
runge,trapezoidal,8,9,0.556897873823164,0.5493603067780064,0.007537567045157623,0.01372062552055388
runge,trapezoidal,16,17,0.5492223236087935,0.5493603067780064,0.00013798316921287412,0.00025117062064812116
runge,trapezoidal,32,33,0.5493121884509603,0.5493603067780064,4.811832704609831e-05,8.758974110873043e-05
runge,trapezoidal,64,65,0.5493482703713577,0.5493603067780064,1.2036406648707754e-05,2.190985861228522e-05
runge,trapezoidal,128,129,0.5493572972853306,0.5493603067780064,3.0094926758428286e-06,5.478176414844163e-06
runge,trapezoidal,256,257,0.5493595543803859,0.5493603067780064,7.523976205403571e-07,1.3695886128962663e-06
runge,trapezoidal,512,513,0.5493601186770728,0.5493603067780064,1.8810093360688285e-07,3.4239993549969647e-07
runge,trapezoidal,1024,1025,0.5493602597526774,0.5493603067780064,4.7025328964167556e-08,8.560015782714758e-08
runge,simpson,4,5,0.5300618921308576,0.5493603067780064,0.019298414647148765,0.03512888428422105
runge,simpson,8,9,0.5234765638597094,0.5493603067780064,0.02588374291829698,0.04711615054626884
runge,simpson,16,17,0.54666380687067,0.5493603067780064,0.002696499907336447,0.004908436001048923
runge,simpson,32,33,0.5493421433983491,0.5493603067780064,1.8163379657321066e-05,3.30627812625363e-05
runge,simpson,64,65,0.5493602976781568,0.5493603067780064,9.099849651583725e-09,1.656444693821122e-08
runge,simpson,128,129,0.5493603062566551,0.5493603067780064,5.213512954682642e-10,9.490152255920804e-10
runge,simpson,256,257,0.549360306745404,0.5493603067780064,3.26023652519325e-11,5.934605185282697e-11
runge,simpson,512,513,0.5493603067759684,0.5493603067780064,2.0380364063044e-12,3.7098355690411384e-12
runge,simpson,1024,1025,0.549360306777879,0.5493603067780064,1.2745360322696797e-13,2.320036625406781e-13
runge,gauss,4,4,0.3709273182957395,0.5493603067780064,0.1784329884822669,0.3248013849576699
runge,gauss,8,8,0.5081219176429999,0.5493603067780064,0.04123838913500655,0.07506619722285608
runge,gauss,16,16,0.5475831052363458,0.5493603067780064,0.0017772015416606113,0.003235038133868614
runge,gauss,32,32,0.5493572185969287,0.5493603067780064,3.088181077748331e-06,5.621412831699631e-06
runge,gauss,64,64,0.5493603067687288,0.5493603067780064,9.27757870528012e-12,1.6887966951403975e-11
runge,gauss,128,128,0.5493603067780034,0.5493603067780064,2.9976021664879227e-15,5.456532132925355e-15
runge,gauss,256,256,0.5493603067780066,0.5493603067780064,2.220446049250313e-16,4.0418756540187815e-16
runge,gauss,512,512,0.5493603067780048,0.5493603067780064,1.5543122344752192e-15,2.829312957813147e-15
runge,gauss,1024,1024,0.5493603067780004,0.5493603067780064,5.995204332975845e-15,1.091306426585071e-14
