function,method,n,eval_count,mean_estimate,std_estimate,exact,mean_abs_error,rel_error,accept_rate,lag1_autocorr,ess_lag1,repeat
sin10x,monte_carlo,10,10,0.14333524376917778,0.31369393746965446,0.2,0.05666475623082223,0.28332378115411117,,,,30.0
sin10x,monte_carlo,50,50,0.2140220109117963,0.14375515363332056,0.2,0.014022010911796279,0.0701100545589814,,,,30.0
sin10x,monte_carlo,100,100,0.2274989813076522,0.10256007645774666,0.2,0.027498981307652187,0.13749490653826094,,,,30.0
sin10x,monte_carlo,500,500,0.2038110683871393,0.04120368553957926,0.2,0.0038110683871392936,0.019055341935696468,,,,30.0
sin10x,monte_carlo,1000,1000,0.20752312097763057,0.03287604555242735,0.2,0.007523120977630554,0.03761560488815277,,,,30.0
sin10x,monte_carlo,5000,5000,0.20061105556914352,0.012763343669880857,0.2,0.0006110555691435093,0.0030552778457175467,,,,30.0
sin10x,monte_carlo,10000,10000,0.20362367083881686,0.00933072600192945,0.2,0.003623670838816845,0.018118354194084224,,,,30.0
sin10x,monte_carlo,50000,50000,0.2009883109331844,0.0048103212731558384,0.2,0.0009883109331843831,0.004941554665921916,,,,30.0
sin10x,monte_carlo,100000,100000,0.20068697599021576,0.0034078220476212464,0.2,0.0006869759902157491,0.0034348799510787453,,,,30.0
sin10x,quasi_mc,10,10,0.16877157284047428,,0.2,0.03122842715952573,0.15614213579762865,,,,
sin10x,quasi_mc,50,50,0.20306373437575798,,0.2,0.003063734375757965,0.015318671878789825,,,,
sin10x,quasi_mc,100,100,0.20247691463431583,,0.2,0.002476914634315819,0.012384573171579094,,,,
sin10x,quasi_mc,500,500,0.20132151255052225,,0.2,0.0013215125505222358,0.006607562752611179,,,,
sin10x,quasi_mc,1000,1000,0.20171459570356573,,0.2,0.0017145957035657189,0.008572978517828594,,,,
sin10x,quasi_mc,5000,5000,0.200203817856851,,0.2,0.00020381785685100184,0.0010190892842550092,,,,
sin10x,quasi_mc,10000,10000,0.20006406780327468,,0.2,6.406780327466999e-05,0.00032033901637334994,,,,
sin10x,quasi_mc,50000,50000,0.20001831521923985,,0.2,1.8315219239839475e-05,9.157609619919738e-05,,,,
sin10x,quasi_mc,100000,100000,0.2000048601416428,,0.2,4.860141642776261e-06,2.4300708213881306e-05,,,,
sin10x,mcmc,10,10,0.3074776821417785,0.3924411818536769,0.2,0.1074776821417785,0.5373884107088924,0.840957095709571,0.029221017782563183,7.700287391929913,30.0
sin10x,mcmc,50,50,0.2213321561471678,0.19680862897378623,0.2,0.021332156147167797,0.10666078073583898,0.8415238095238097,0.15058136914600653,37.32934100813746,30.0
sin10x,mcmc,100,100,0.2114058907490804,0.14778667036197468,0.2,0.011405890749080383,0.057029453745401915,0.8416363636363636,0.16863790231500214,71.71294410175759,30.0
sin10x,mcmc,500,500,0.21572877592138734,0.06564897423290325,0.2,0.015728775921387328,0.07864387960693664,0.8412,0.17825311054194534,350.4949205210134,30.0
sin10x,mcmc,1000,1000,0.21196358015420355,0.04673565209418259,0.2,0.01196358015420354,0.0598179007710177,0.8408333333333332,0.17853518573709842,698.1900178363157,30.0
sin10x,mcmc,5000,5000,0.19778988100948874,0.016679668450643108,0.2,0.0022101189905112673,0.011050594952556336,0.8410222222222222,0.18042411976121878,3472.3843821066193,30.0
sin10x,mcmc,10000,10000,0.19878838958704098,0.013844861431349716,0.2,0.00121161041295903,0.00605805206479515,0.840730303030303,0.17911118091741138,6963.076745119852,30.0
sin10x,mcmc,50000,50000,0.2005279582795098,0.0062588949977380095,0.2,0.0005279582795097992,0.002639791397548996,0.8404738562091504,0.1795208346872125,34781.52667916099,30.0
sin10x,mcmc,100000,100000,0.20016570006867174,0.005366362724798813,0.2,0.00016570006867172582,0.0008285003433586291,0.840325412541254,0.17939836863386857,69579.44170665984,30.0
