function,method,n,eval_count,estimate,exact,abs_error,rel_error
sin10x,midpoint,4,4,0.4250544230926842,0.2,0.2250544230926842,1.1252721154634209
sin10x,midpoint,8,8,0.23614758488361565,0.2,0.036147584883615635,0.18073792441807818
sin10x,midpoint,16,16,0.20826357663336853,0.2,0.008263576633368519,0.041317883166842595
sin10x,midpoint,32,32,0.20202217823644456,0.2,0.002022178236444544,0.01011089118222272
sin10x,midpoint,64,64,0.20050287743472406,0.2,0.0005028774347240472,0.002514387173620236
sin10x,midpoint,128,128,0.20012555365619672,0.2,0.00012555365619670855,0.0006277682809835428
sin10x,midpoint,256,256,0.20003137807306207,0.2,3.137807306205498e-05,0.0001568903653102749
sin10x,midpoint,512,512,0.20000784387219436,0.2,7.843872194351897e-06,3.921936097175949e-05
sin10x,midpoint,1024,1024,0.2000019609276729,0.2,1.9609276728782543e-06,9.804638364391272e-06
sin10x,trapezoidal,4,5,-0.16266128557107185,0.2,0.36266128557107186,1.8133064278553592
sin10x,trapezoidal,8,9,0.13119656876080618,0.2,0.06880343123919383,0.3440171561959691
sin10x,trapezoidal,16,17,0.1836720768222109,0.2,0.01632792317778911,0.08163961588894555
sin10x,trapezoidal,32,33,0.19596782672778973,0.2,0.004032173272210282,0.02016086636105141
sin10x,trapezoidal,64,65,0.19899500248211716,0.2,0.0010049975178828552,0.005024987589414276
sin10x,trapezoidal,128,129,0.19974893995842058,0.2,0.00025106004157943174,0.0012553002078971587
sin10x,trapezoidal,256,257,0.19993724680730862,0.2,6.275319269138935e-05,0.00031376596345694674
sin10x,trapezoidal,512,513,0.19998431244018533,0.2,1.5687559814681062e-05,7.843779907340531e-05
sin10x,trapezoidal,1024,1025,0.19999607815618986,0.2,3.921843810150705e-06,1.9609219050753524e-05
sin10x,simpson,4,5,-0.47868110189391194,0.2,0.678681101893912,3.3934055094695594
sin10x,simpson,8,9,0.22914918687143215,0.2,0.029149186871432142,0.1457459343571607
sin10x,simpson,16,17,0.20116391284267915,0.2,0.0011639128426791379,0.005819564213395689
sin10x,simpson,32,33,0.2000664100296493,0.2,6.641002964929976e-05,0.0003320501482464988
sin10x,simpson,64,65,0.20000406106689292,0.2,4.061066892907528e-06,2.030533446453764e-05
sin10x,simpson,128,129,0.20000025245052175,0.2,2.5245052173716864e-07,1.2622526086858432e-06
sin10x,simpson,256,257,0.200000015756938,0.2,1.57569379766187e-08,7.87846898830935e-08
sin10x,simpson,512,513,0.2000000009844776,0.2,9.844775827883012e-10,4.922387913941506e-09
sin10x,simpson,1024,1025,0.20000000006152466,0.2,6.152464648856437e-11,3.0762323244282186e-10
sin10x,gauss,4,4,-0.42804558457472064,0.2,0.6280455845747206,3.1402279228736028
sin10x,gauss,8,8,0.19984717485087697,0.2,0.00015282514912304257,0.0007641257456152128
sin10x,gauss,16,16,0.19999999999999965,0.2,3.608224830031759e-16,1.8041124150158794e-15
sin10x,gauss,32,32,0.2000000000000002,0.2,1.942890293094024e-16,9.71445146547012e-16
sin10x,gauss,64,64,0.20000000000000048,0.2,4.718447854656915e-16,2.3592239273284576e-15
sin10x,gauss,128,128,0.19999999999999865,0.2,1.3600232051658168e-15,6.800116025829084e-15
sin10x,gauss,256,256,0.19999999999999776,0.2,2.248201624865942e-15,1.124100812432971e-14
sin10x,gauss,512,512,0.19999999999999724,0.2,2.7755575615628914e-15,1.3877787807814457e-14
sin10x,gauss,1024,1024,0.19999999999999898,0.2,1.0269562977782698e-15,5.134781488891349e-15
