function,method,n,eval_count,mean_estimate,std_estimate,exact,mean_abs_error,rel_error,accept_rate,lag1_autocorr,ess_lag1,repeat
sin,monte_carlo,10,10,1.9821569508201422,0.3199917095776986,2.0,0.017843049179857795,0.008921524589928898,,,,30.0
sin,monte_carlo,50,50,2.0049699499655778,0.15379527076181182,2.0,0.004969949965577758,0.002484974982788879,,,,30.0
sin,monte_carlo,100,100,2.002937706910656,0.09698907147757722,2.0,0.0029377069106559794,0.0014688534553279897,,,,30.0
sin,monte_carlo,500,500,1.994403392269288,0.0430276220072511,2.0,0.005596607730711911,0.0027983038653559555,,,,30.0
sin,monte_carlo,1000,1000,1.9988256149147325,0.030905558354111722,2.0,0.0011743850852674598,0.0005871925426337299,,,,30.0
sin,monte_carlo,5000,5000,1.9992972158693272,0.013560994613796043,2.0,0.0007027841306728178,0.0003513920653364089,,,,30.0
sin,monte_carlo,10000,10000,1.9980189868256433,0.009978278776696894,2.0,0.001981013174356727,0.0009905065871783636,,,,30.0
sin,monte_carlo,50000,50000,2.000510962041639,0.004373020265406806,2.0,0.0005109620416390293,0.0002554810208195146,,,,30.0
sin,monte_carlo,100000,100000,1.9997970385227883,0.0029240201579771633,2.0,0.00020296147721166058,0.00010148073860583029,,,,30.0
sin,quasi_mc,10,10,2.210011379535336,,2.0,0.21001137953533622,0.10500568976766811,,,,
sin,quasi_mc,50,50,2.0410670025925355,,2.0,0.041067002592535484,0.020533501296267742,,,,
sin,quasi_mc,100,100,2.01188253517616,,2.0,0.01188253517615978,0.00594126758807989,,,,
sin,quasi_mc,500,500,2.0037039163749166,,2.0,0.003703916374916627,0.0018519581874583135,,,,
sin,quasi_mc,1000,1000,2.0009640105717676,,2.0,0.0009640105717676484,0.0004820052858838242,,,,
sin,quasi_mc,5000,5000,2.000108645796809,,2.0,0.00010864579680891495,5.4322898404457476e-05,,,,
sin,quasi_mc,10000,10000,2.0000273831076263,,2.0,2.7383107626288705e-05,1.3691553813144353e-05,,,,
sin,quasi_mc,50000,50000,2.0000079048097796,,2.0,7.904809779635258e-06,3.952404889817629e-06,,,,
sin,quasi_mc,100000,100000,2.000001980817674,,2.0,1.980817673885582e-06,9.90408836942791e-07,,,,
sin,mcmc,10,10,1.874456770711579,0.552837831805954,2.0,0.1255432292884211,0.06277161464421055,0.840957095709571,0.29914502967098594,5.452497963886756,30.0
sin,mcmc,50,50,1.997468780467593,0.24025844282048148,2.0,0.002531219532406981,0.0012656097662034904,0.8415238095238097,0.5146541554729963,16.36281844798777,30.0
sin,mcmc,100,100,2.019419140113478,0.1982548499165842,2.0,0.019419140113477784,0.009709570056738892,0.8416363636363636,0.5136040814524578,32.58993795726454,30.0
sin,mcmc,500,500,1.9944245708400508,0.08168198925630997,2.0,0.005575429159949241,0.0027877145799746206,0.8412,0.5580500585682507,142.32242061022455,30.0
sin,mcmc,1000,1000,1.9934963216294574,0.059909508552852896,2.0,0.006503678370542554,0.003251839185271277,0.8408333333333332,0.5602660330533568,282.29652362754484,30.0
sin,mcmc,5000,5000,2.0028028026517037,0.024358330273063125,2.0,0.0028028026517037397,0.0014014013258518698,0.8410222222222222,0.5739652515302598,1353.8157065925957,30.0
sin,mcmc,10000,10000,2.0006246649335386,0.018427362874309867,2.0,0.0006246649335386323,0.00031233246676931614,0.840730303030303,0.5729875029016184,2715.125208131775,30.0
sin,mcmc,50000,50000,1.9999326069483905,0.009527926235744017,2.0,6.739305160952114e-05,3.369652580476057e-05,0.8404738562091504,0.5740597640992607,13530.338326048857,30.0
sin,mcmc,100000,100000,2.000093846421409,0.005638651830094662,2.0,9.384642140908284e-05,4.692321070454142e-05,0.840325412541254,0.5740388231533161,27062.102673856658,30.0
