function,method,n,eval_count,estimate,exact,abs_error,rel_error
sin,midpoint,4,4,2.0523443059540623,2.0,0.052344305954062254,0.026172152977031127
sin,midpoint,8,8,2.012909085599128,2.0,0.012909085599127845,0.006454542799563923
sin,midpoint,16,16,2.00321637816795,2.0,0.0032163781679499515,0.0016081890839749757
sin,midpoint,32,32,2.000803416309931,2.0,0.00080341630993086,0.00040170815496543
sin,midpoint,64,64,2.000200811728367,2.0,0.00020081172836716732,0.00010040586418358366
sin,midpoint,128,128,2.0000502002859024,2.0,5.02002859024131e-05,2.510014295120655e-05
sin,midpoint,256,256,2.000012549906099,2.0,1.2549906098779928e-05,6.274953049389964e-06
sin,midpoint,512,512,2.0000031374661886,2.0,3.137466188629645e-06,1.5687330943148226e-06
sin,midpoint,1024,1024,2.000000784365901,2.0,7.843659011186332e-07,3.921829505593166e-07
sin,trapezoidal,4,5,1.8961188979370398,2.0,0.1038811020629602,0.0519405510314801
sin,trapezoidal,8,9,1.9742316019455508,2.0,0.025768398054449193,0.012884199027224597
sin,trapezoidal,16,17,1.9935703437723395,2.0,0.006429656227660452,0.003214828113830226
sin,trapezoidal,32,33,1.9983933609701447,2.0,0.0016066390298552502,0.0008033195149276251
sin,trapezoidal,64,65,1.9995983886400375,2.0,0.00040161135996252817,0.00020080567998126408
sin,trapezoidal,128,129,1.9998996001842024,2.0,0.0001003998157975694,5.01999078987847e-05
sin,trapezoidal,256,257,1.9999749002350524,2.0,2.509976494757815e-05,1.2549882473789076e-05
sin,trapezoidal,512,513,1.9999937250705755,2.0,6.274929424510134e-06,3.137464712255067e-06
sin,trapezoidal,1024,1025,1.999998431268382,2.0,1.5687316179402444e-06,7.843658089701222e-07
sin,simpson,4,5,2.0045597549844207,2.0,0.0045597549844207386,0.0022798774922103693
sin,simpson,8,9,2.000269169948388,2.0,0.0002691699483881038,0.0001345849741940519
sin,simpson,16,17,2.0000165910479355,2.0,1.6591047935499148e-05,8.295523967749574e-06
sin,simpson,32,33,2.0000010333694127,2.0,1.0333694127062643e-06,5.166847063531321e-07
sin,simpson,64,65,2.000000064530002,2.0,6.453000178652246e-08,3.226500089326123e-08
sin,simpson,128,129,2.000000004032257,2.0,4.032257194808153e-09,2.0161285974040766e-09
sin,simpson,256,257,2.0000000002520024,2.0,2.520024189323067e-10,1.2600120946615334e-10
sin,simpson,512,513,2.0000000000157496,2.0,1.574962382733247e-11,7.874811913666235e-12
sin,simpson,1024,1025,2.000000000000984,2.0,9.841016890277388e-13,4.920508445138694e-13
sin,gauss,4,4,1.9999842284577227,2.0,1.5771542277276396e-05,7.885771138638198e-06
sin,gauss,8,8,1.9999999999999933,2.0,6.661338147750939e-15,3.3306690738754696e-15
sin,gauss,16,16,2.000000000000001,2.0,8.881784197001252e-16,4.440892098500626e-16
sin,gauss,32,32,1.9999999999999976,2.0,2.4424906541753444e-15,1.2212453270876722e-15
sin,gauss,64,64,2.0000000000000027,2.0,2.6645352591003757e-15,1.3322676295501878e-15
sin,gauss,128,128,1.9999999999999871,2.0,1.2878587085651816e-14,6.439293542825908e-15
sin,gauss,256,256,1.9999999999999998,2.0,2.220446049250313e-16,1.1102230246251565e-16
sin,gauss,512,512,1.9999999999999927,2.0,7.327471962526033e-15,3.6637359812630166e-15
sin,gauss,1024,1024,1.9999999999999754,2.0,2.4646951146678475e-14,1.2323475573339238e-14
