function,method,n,eval_count,estimate,exact,abs_error,rel_error
step,midpoint,4,4,0.5,0.5,0.0,0.0
step,midpoint,8,8,0.5,0.5,0.0,0.0
step,midpoint,16,16,0.5,0.5,0.0,0.0
step,midpoint,32,32,0.5,0.5,0.0,0.0
step,midpoint,64,64,0.5,0.5,0.0,0.0
step,midpoint,128,128,0.5,0.5,0.0,0.0
step,midpoint,256,256,0.5,0.5,0.0,0.0
step,midpoint,512,512,0.5,0.5,0.0,0.0
step,midpoint,1024,1024,0.5,0.5,0.0,0.0
step,trapezoidal,4,5,0.625,0.5,0.125,0.25
step,trapezoidal,8,9,0.5625,0.5,0.0625,0.125
step,trapezoidal,16,17,0.53125,0.5,0.03125,0.0625
step,trapezoidal,32,33,0.515625,0.5,0.015625,0.03125
step,trapezoidal,64,65,0.5078125,0.5,0.0078125,0.015625
step,trapezoidal,128,129,0.50390625,0.5,0.00390625,0.0078125
step,trapezoidal,256,257,0.501953125,0.5,0.001953125,0.00390625
step,trapezoidal,512,513,0.5009765625,0.5,0.0009765625,0.001953125
step,trapezoidal,1024,1025,0.50048828125,0.5,0.00048828125,0.0009765625
step,simpson,4,5,0.5833333333333333,0.5,0.08333333333333326,0.16666666666666652
step,simpson,8,9,0.5416666666666666,0.5,0.04166666666666663,0.08333333333333326
step,simpson,16,17,0.5208333333333333,0.5,0.02083333333333326,0.04166666666666652
step,simpson,32,33,0.5104166666666666,0.5,0.01041666666666663,0.02083333333333326
step,simpson,64,65,0.5052083333333333,0.5,0.005208333333333259,0.010416666666666519
step,simpson,128,129,0.5026041666666666,0.5,0.0026041666666666297,0.005208333333333259
step,simpson,256,257,0.5013020833333333,0.5,0.0013020833333332593,0.0026041666666665186
step,simpson,512,513,0.5006510416666666,0.5,0.0006510416666666297,0.0013020833333332593
step,simpson,1024,1025,0.5003255208333333,0.5,0.0003255208333332593,0.0006510416666665186
step,gauss,4,4,0.5,0.5,0.0,0.0
step,gauss,8,8,0.5,0.5,0.0,0.0
step,gauss,16,16,0.5,0.5,0.0,0.0
step,gauss,32,32,0.5,0.5,0.0,0.0
step,gauss,64,64,0.5,0.5,0.0,0.0
step,gauss,128,128,0.5,0.5,0.0,0.0
step,gauss,256,256,0.5000000000000001,0.5,1.1102230246251565e-16,2.220446049250313e-16
step,gauss,512,512,0.5,0.5,0.0,0.0
step,gauss,1024,1024,0.5,0.5,0.0,0.0
