threshold,method,n_or_N,eval_count,estimate,exact,abs_error,std_estimate,accept_rate,lag1_autocorr,ess_lag1
0.31,midpoint,256,256,0.69140625,0.69,0.0014062500000000533,,,,
0.31,trapezoidal,256,257,0.689453125,0.69,0.0005468749999999467,,,,
0.31,simpson,256,257,0.6888020833333333,0.69,0.0011979166666666874,,,,
0.31,gauss,256,256,0.6909888783554912,0.69,0.0009888783554912184,,,,
0.31,monte_carlo,50000,50000,0.6902066666666666,0.69,0.00020666666666668831,0.0023485069847610173,,,
0.31,quasi_mc,50000,50000,0.68996,0.69,3.999999999992898e-05,,,,
0.31,mcmc,50000,50000,0.690592,0.69,0.0005920000000000369,0.006415106309759578,0.8404738562091504,0.6514929386243367,10551.908377978023
0.37,midpoint,256,256,0.62890625,0.63,0.0010937500000000044,,,,
0.37,trapezoidal,256,257,0.630859375,0.63,0.0008593749999999956,,,,
0.37,simpson,256,257,0.6315104166666666,0.63,0.0015104166666666252,,,,
0.37,gauss,256,256,0.6271904837335883,0.63,0.0028095162664116824,,,,
0.37,monte_carlo,50000,50000,0.6303286666666668,0.63,0.0003286666666667548,0.002413374705938632,,,
0.37,quasi_mc,50000,50000,0.62996,0.63,4.0000000000040004e-05,,,,
0.37,mcmc,50000,50000,0.6304,0.63,0.00039999999999995595,0.0069080882130022675,0.8404738562091504,0.6679855564246644,9953.085857531225
0.5,midpoint,256,256,0.5,0.5,0.0,,,,
0.5,trapezoidal,256,257,0.501953125,0.5,0.001953125,,,,
0.5,simpson,256,257,0.5013020833333333,0.5,0.0013020833333332593,,,,
0.5,gauss,256,256,0.5000000000000001,0.5,1.1102230246251565e-16,,,,
0.5,monte_carlo,50000,50000,0.5000566666666667,0.5,5.6666666666704835e-05,0.002456569423674681,,,
0.5,quasi_mc,50000,50000,0.5,0.5,0.0,,,,
0.5,mcmc,50000,50000,0.49983333333333335,0.5,0.0001666666666666483,0.0074288669639330585,0.8404738562091504,0.683056486126828,9416.122126310398
0.61,midpoint,256,256,0.390625,0.39,0.0006249999999999867,,,,
0.61,trapezoidal,256,257,0.388671875,0.39,0.0013281250000000133,,,,
0.61,simpson,256,257,0.38932291666666663,0.39,0.0006770833333333837,,,,
0.61,gauss,256,256,0.3906589786996123,0.39,0.0006589786996122893,,,,
0.61,monte_carlo,50000,50000,0.38969400000000004,0.39,0.00030599999999997296,0.0023248590613567164,,,
0.61,quasi_mc,50000,50000,0.38998,0.39,2.0000000000020002e-05,,,,
0.61,mcmc,50000,50000,0.389966,0.39,3.4000000000034e-05,0.006709135614194664,0.8404738562091504,0.6722454389046817,9800.24817020149
0.73,midpoint,256,256,0.26953125,0.27,0.00046875000000001776,,,,
0.73,trapezoidal,256,257,0.271484375,0.27,0.0014843749999999822,,,,
0.73,simpson,256,257,0.27213541666666663,0.27,0.002135416666666612,,,,
0.73,gauss,256,256,0.2701438051926685,0.27,0.00014380519266848912,,,,
0.73,monte_carlo,50000,50000,0.2700053333333333,0.27,5.33333333330166e-06,0.0018157618963861512,,,
0.73,quasi_mc,50000,50000,0.26996,0.27,4.0000000000040004e-05,,,,
0.73,mcmc,50000,50000,0.270136,0.27,0.00013599999999996948,0.005787600062440276,0.8404738562091504,0.6368422252129792,11093.783628652312
